Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_18_11I	RADIX	MARLIN	
1000	4	DITHER____	PLATEAU	 0.0001523	 0.0028541	 0.0030448	 0.0030693	 0.0030016	 0.0128529	 0.0173126	
1000	4	DITHER____	SHUFFLE	 0.0001523	 0.0093195	 0.0100340	! 0.0125692	 0.0093095	 0.0174066	 0.0154570	
1000	16	IDENT_____	STAGGER	 0.0001521	 0.0145031	 0.0151393	 0.0149336	 0.0150182	 0.0168322	 0.0153081	
1000	16	IDENT_____	SAWTOTH	 0.0001520	 0.0170331	 0.0059127	 0.0056831	 0.0055223	 0.0125913	 0.0187003	
1000	16	IDENT_____	_RANDOM	 0.0001523	 0.0058105	 0.0059215	! 0.0083148	 0.0060991	 0.0126687	 0.0234395	
1000	16	IDENT_____	PLATEAU	 0.0001522	 0.0003898	 0.0007827	 0.0008616	 0.0007919	 0.0006291	 0.0035841	
1000	16	IDENT_____	SHUFFLE	 0.0001530	 0.0124177	 0.0080946	! 0.0101029	! 0.0461464	 0.0179801	 0.0120834	
1000	16	REVERSE___	STAGGER	 0.0001521	 0.0149736	 0.0150831	 0.0140624	 0.0146064	 0.0176318	 0.0194704	
1000	16	REVERSE___	SAWTOTH	 0.0001520	 0.0176139	 0.0079488	 0.0072927	! 0.0099578	 0.0129446	 0.0215851	
1000	16	REVERSE___	_RANDOM	 0.0001524	 0.0059071	! 0.0087837	 0.0057456	 0.0055058	 0.0126868	 0.0251614	
1000	16	REVERSE___	PLATEAU	 0.0001519	 0.0008942	 0.0008177	 0.0008831	 0.0008055	 0.0005799	 0.0038612	
1000	16	REVERSE___	SHUFFLE	 0.0001522	 0.0141574	 0.0104868	 0.0081575	! 0.0106312	 0.0192723	 0.0174765	
1000	16	REVERSE_FR	STAGGER	 0.0001520	 0.0148908	 0.0167123	 0.0149416	 0.0172913	 0.0173382	 0.0170721	
1000	16	REVERSE_FR	SAWTOTH	 0.0001519	 0.0183581	 0.0078944	 0.0074576	 0.0066169	 0.0128694	 0.0191498	
1000	16	REVERSE_FR	_RANDOM	 0.0001521	 0.0055844	! 0.0098686	 0.0069517	! 0.0095913	 0.0125925	 0.0249142	
