
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 60
lreps: 9 with reps: 3

Warmup length: 10001 reps: 60
lreps: 9 with reps: 3

total: 600120
  End warm up (21060 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (min time + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of       2.00 % , convergence at       4.00 sigma with max test duration =    3000.00 ms.


COLUMNS:Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11I	DPQ_18_11P	RADIX	MARLIN	[DPQ_11 % DPQ_18_11_21]

lreps: 9 with reps: 15695

100 1  SAWTOTH REVERSE_FR	   0.000020	   0.000105	   0.000108	   0.000104	   0.000138	   0.000120	   0.000268	     97.72 % 
100 1  _RANDOM REVERSE_FR	   0.000020	   0.000105	   0.000107	   0.000104	   0.000138	   0.000120	   0.000268	     97.91 % 
100 1  PLATEAU REVERSE_FR	   0.000020	   0.000096	   0.000098	   0.000098	   0.000166	   0.000121	   0.000285	     98.26 % 
100 1  SHUFFLE REVERSE_FR	   0.000020	   0.000481	   0.000718	   0.000644	   0.000512	   0.000391	   0.000706	     66.95 % 
100 1  STAGGER REVERSE_BA	   0.000020	   0.000805	   0.000918	   0.000791	   0.000706	   0.000419	   0.000908	     87.71 % 
100 1  SAWTOTH REVERSE_BA	   0.000020	   0.000105	   0.000108	   0.000104	   0.000138	   0.000120	   0.000268	     97.80 % 
100 1  _RANDOM REVERSE_BA	   0.000020	   0.000105	   0.000108	   0.000104	   0.000138	   0.000120	   0.000268	     97.73 % 
100 1  PLATEAU REVERSE_BA	   0.000020	   0.000106	   0.000097	   0.000095	   0.000138	   0.000120	   0.000254	    108.90 % .!.
100 1  SHUFFLE REVERSE_BA	   0.000020	   0.000284	   0.000542	   0.000482	   0.000418	   0.000411	   0.000708	     52.37 % 
100 1  STAGGER SORT______	   0.000020	   0.000193	   0.000236	   0.000237	   0.000138	   0.000120	   0.000232	     81.69 % 
100 1  SAWTOTH SORT______	   0.000020	   0.000105	   0.000108	   0.000104	   0.000138	   0.000120	   0.000269	     97.55 % 
100 1  _RANDOM SORT______	   0.000020	   0.000105	   0.000107	   0.000104	   0.000138	   0.000120	   0.000269	     98.01 % 
100 1  PLATEAU SORT______	   0.000020	   0.000106	   0.000097	   0.000095	   0.000138	   0.000120	   0.000254	    108.88 % .!.
100 1  SHUFFLE SORT______	   0.000020	   0.000192	   0.000234	   0.000231	   0.000138	   0.000120	   0.000232	     82.08 % 
100 1  STAGGER DITHER____	   0.000020	   0.000849	   0.000798	   0.000690	   0.000534	   0.003835	   0.000635	    106.32 % .!.
100 1  SAWTOTH DITHER____	   0.000020	   0.000338	   0.000474	   0.000439	   0.001020	   0.003677	   0.001168	     71.44 % 
100 1  _RANDOM DITHER____	   0.000020	   0.000339	   0.000474	   0.000439	   0.001019	   0.003673	   0.001169	     71.47 % 
100 1  PLATEAU DITHER____	   0.000020	   0.000359	   0.000494	   0.000448	   0.001020	   0.003682	   0.001166	     72.76 % 
100 1  SHUFFLE DITHER____	   0.000020	   0.000284	   0.000431	   0.000368	   0.000188	   0.003798	   0.000600	     65.91 % 
100 4  STAGGER IDENT_____	   0.000020	   0.000751	   0.000986	   0.000874	   0.000792	   0.000813	   0.000995	     76.16 % 
100 4  SAWTOTH IDENT_____	   0.000020	   0.000304	   0.000477	   0.000453	   0.000973	   0.003687	   0.001172	     63.67 % 
100 4  _RANDOM IDENT_____	   0.000020	!  0.000395	$   0.000394	   0.000321	   0.000917	   0.003713	   0.001116	    100.18 % ..
100 4  PLATEAU IDENT_____	   0.000020	   0.000115	   0.000117	   0.000098	   0.000138	   0.000120	   0.000254	     98.37 % 
100 4  SHUFFLE IDENT_____	   0.000020	!  0.000757	   0.000582	   0.000540	   0.000613	   0.002018	   0.000880	    130.05 % .!!!.
100 4  STAGGER REVERSE___	   0.000020	   0.000712	   0.001262	   0.001141	   0.000861	   0.000899	   0.001555	     56.45 % 
100 4  SAWTOTH REVERSE___	   0.000020	   0.000263	   0.000464	   0.000282	   0.000840	   0.003804	   0.001220	     56.62 % 
100 4  _RANDOM REVERSE___	   0.000020	!  0.000398	   0.000451	!  0.000384	   0.000917	   0.003716	   0.001159	     88.13 % 
100 4  PLATEAU REVERSE___	   0.000020	   0.000121	   0.000112	   0.000103	   0.000212	   0.000122	   0.000333	    108.29 % .!.
100 4  SHUFFLE REVERSE___	   0.000020	!  0.000832	   0.000670	   0.000636	   0.001162	   0.002139	   0.001524	    124.26 % .!!!.
100 4  STAGGER REVERSE_FR	   0.000020	   0.000718	   0.000833	   0.000882	   0.000838	   0.000867	   0.001274	     86.09 % 
100 4  SAWTOTH REVERSE_FR	   0.000020	   0.000304	   0.000450	   0.000421	   0.000949	   0.003793	   0.001201	     67.52 % 
100 4  _RANDOM REVERSE_FR	   0.000020	$!  0.000355	   0.000454	!  0.000359	   0.000944	   0.003715	   0.001112	     78.26 % 
100 4  PLATEAU REVERSE_FR	   0.000020	   0.000108	   0.000109	   0.000104	   0.000176	   0.000125	   0.000331	     98.94 % 
100 4  SHUFFLE REVERSE_FR	   0.000020	   0.000735	   0.000701	   0.000675	   0.000868	   0.004175	   0.001225	    104.74 % ..
100 4  STAGGER REVERSE_BA	   0.000020	   0.000773	   0.000814	   0.000756	   0.000713	   0.000873	   0.001292	     95.00 % 
100 4  SAWTOTH REVERSE_BA	   0.000020	   0.000273	   0.000455	   0.000415	   0.000845	   0.003696	   0.001198	     60.04 % 
100 4  _RANDOM REVERSE_BA	   0.000020	!  0.000410	   0.000399	   0.000305	   0.000907	   0.003715	   0.001113	    102.80 % ..
100 4  PLATEAU REVERSE_BA	   0.000020	   0.000115	   0.000116	   0.000098	   0.000138	   0.000120	   0.000254	     98.88 % 
100 4  SHUFFLE REVERSE_BA	   0.000020	!  0.000801	   0.000807	   0.000742	   0.000716	   0.004224	   0.001182	     99.25 % 
100 4  STAGGER SORT______	   0.000020	   0.000192	   0.000245	   0.000237	   0.000138	   0.000120	   0.000232	     78.40 % 
100 4  SAWTOTH SORT______	   0.000020	   0.000342	   0.000239	   0.000219	   0.000138	   0.000118	   0.000254	    142.95 % .!!!.
100 4  _RANDOM SORT______	   0.000020	   0.000306	   0.000227	   0.000209	   0.000138	   0.000117	   0.000237	    134.54 % .!!!.
100 4  PLATEAU SORT______	   0.000020	   0.000115	   0.000116	   0.000098	   0.000138	   0.000120	   0.000254	     98.73 % 
