
--- Bentley Basher ---

Start warm up ...
warmup length: 10010 reps: 25
  End warm up (6000 iterations per sort).


-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)



                                    DPQ_11         DPQ_18_2         DPQ_18_11         RADIX         MARLIN         MERGE_TD         MERGE_BU        [DPQ_11 % DPQ_18_11]

1000 256  STAGGER IDENT_____  	  0.018695	  0.019793	  0.020583	  0.022114	  0.025978	  0.023817	  0.024945	     90.82 % 
1000 256  SAWTOTH IDENT_____  	  0.008180	  0.017180	  0.020428	  0.007566	  0.014244	  0.011518	  0.010113	     40.04 % 
1000 256  _RANDOM IDENT_____  	  0.023802	  0.027368	  0.022272	  0.019124	  0.039950	  0.038574	  0.060392	    106.87 % .!.
1000 256  PLATEAU IDENT_____  	  0.000700	  0.003226	  0.003103	  0.000928	  0.005562	  0.002522	  0.001948	     22.56 % 
1000 256  SHUFFLE IDENT_____  	  0.007203	  0.007264	  0.007384	  0.006802	  0.012467	  0.009156	  0.007203	     97.55 % 
1000 256  STAGGER REVERSE___  	  0.019662	  0.020610	  0.022198	  0.022513	  0.026873	  0.026087	  0.026948	     88.58 % 
1000 256  SAWTOTH REVERSE___  	  0.009035	  0.017077	  0.019404	  0.008495	  0.020316	  0.028021	  0.032927	     46.56 % 
1000 256  _RANDOM REVERSE___  	  0.026640	  0.022825	  0.021640	  0.019142	  0.040417	  0.039280	  0.060216	    123.10 % .!!!.
1000 256  PLATEAU REVERSE___  	  0.001287	  0.003954	  0.003892	  0.001246	  0.007282	  0.012450	  0.013385	     33.08 % 
1000 256  SHUFFLE REVERSE___  	  0.007751	  0.009100	  0.009228	  0.007452	  0.017920	  0.026882	  0.031736	     83.99 % 
1000 256  STAGGER REVERSE_FR  	  0.019485	  0.020705	  0.022156	  0.022148	  0.026530	  0.025206	  0.026711	     87.95 % 
1000 256  SAWTOTH REVERSE_FR  	  0.010872	  0.017917	  0.021243	  0.010091	  0.017346	  0.020316	  0.021275	     51.18 % 
1000 256  _RANDOM REVERSE_FR  	  0.026921	  0.024903	  0.023090	  0.019157	  0.040824	  0.039313	  0.060205	    116.59 % .!!.
1000 256  PLATEAU REVERSE_FR  	  0.004581	  0.006361	  0.005436	  0.001226	  0.007244	  0.009984	  0.011529	     84.27 % 
1000 256  SHUFFLE REVERSE_FR  	  0.007908	  0.008591	  0.009414	  0.010048	  0.015017	  0.017902	  0.019760	     84.00 % 
1000 256  STAGGER REVERSE_BA  	  0.020210	  0.019147	  0.019577	  0.021926	  0.026199	  0.024649	  0.026172	    103.23 % ..
1000 256  SAWTOTH REVERSE_BA  	  0.012253	  0.017625	  0.019785	  0.011265	  0.017193	  0.019425	  0.022177	     61.93 % 
1000 256  _RANDOM REVERSE_BA  	  0.025410	  0.021183	  0.021090	  0.019128	  0.039912	  0.039033	  0.060152	    120.48 % .!!!.
1000 256  PLATEAU REVERSE_BA  	  0.000849	  0.003151	  0.003173	  0.000929	  0.005521	  0.002392	  0.001898	     26.75 % 
1000 256  SHUFFLE REVERSE_BA  	  0.009837	  0.009764	  0.010573	  0.009048	  0.015118	  0.019186	  0.020079	     93.04 % 
1000 256  STAGGER SORT______  	  0.000707	  0.006126	  0.005940	  0.000956	  0.004819	  0.002573	  0.001935	     11.90 % 
1000 256  SAWTOTH SORT______  	  0.000875	  0.006078	  0.005884	  0.001019	  0.004884	  0.002502	  0.002181	     14.87 % 
1000 256  _RANDOM SORT______  	  0.000867	  0.006382	  0.005904	  0.000994	  0.004900	  0.002473	  0.001989	     14.68 % 
1000 256  PLATEAU SORT______  	  0.000874	  0.003178	  0.003272	  0.000992	  0.005562	  0.002459	  0.001945	     26.72 % 
1000 256  SHUFFLE SORT______  	  0.000837	  0.006292	  0.006131	  0.000987	  0.004904	  0.002581	  0.001935	     13.65 % 
1000 256  STAGGER DITHER____  	  0.020861	  0.018164	  0.019756	  0.021951	  0.026192	  0.023839	  0.025487	    105.59 % .!.
1000 256  SAWTOTH DITHER____  	  0.017400	  0.018845	  0.021977	  0.020986	  0.018949	  0.015383	  0.015053	     79.17 % 
1000 256  _RANDOM DITHER____  	  0.022554	  0.028713	  0.024582	  0.019370	  0.040739	  0.039194	  0.061816	     91.75 % 
1000 256  PLATEAU DITHER____  	  0.006691	  0.006794	  0.006937	  0.019032	  0.023294	  0.020387	  0.020763	     96.47 % 
1000 256  SHUFFLE DITHER____  	  0.009751	  0.007752	  0.008017	  0.027731	  0.014257	  0.011374	  0.009346	    121.63 % .!!!.
1000 1024  STAGGER IDENT_____  	  0.019139	  0.018387	  0.019472	  0.021007	  0.021577	  0.019425	  0.019620	     98.29 % 
1000 1024  SAWTOTH IDENT_____  	  0.000835	  0.006229	  0.005894	  0.000998	  0.005026	  0.002464	  0.001915	     14.16 % 
1000 1024  _RANDOM IDENT_____  	  0.025930	  0.027454	  0.024947	  0.021916	  0.041764	  0.039513	  0.062012	    103.94 % ..
1000 1024  PLATEAU IDENT_____  	  0.000885	  0.006239	  0.005890	  0.000955	  0.004891	  0.002486	  0.002696	     15.03 % 
1000 1024  SHUFFLE IDENT_____  	  0.000885	  0.006287	  0.005897	  0.000998	  0.004962	  0.002458	  0.001919	     15.00 % 
1000 1024  STAGGER REVERSE___  	  0.021258	  0.017338	  0.019364	  0.021824	  0.026719	  0.028608	  0.031238	    109.78 % .!.
1000 1024  SAWTOTH REVERSE___  	  0.001568	  0.008131	  0.007960	  0.001830	  0.011042	  0.028404	  0.031521	     19.70 % 
1000 1024  _RANDOM REVERSE___  	  0.027535	  0.024903	  0.022826	  0.023396	  0.040882	  0.039816	  0.060061	    120.63 % .!!!.
1000 1024  PLATEAU REVERSE___  	  0.001706	  0.008240	  0.007977	  0.001794	  0.011024	  0.026710	  0.032523	     21.38 % 
1000 1024  SHUFFLE REVERSE___  	  0.001562	  0.008284	  0.008039	  0.001745	  0.011013	  0.026646	  0.032037	     19.43 % 
1000 1024  STAGGER REVERSE_FR  	  0.019681	  0.017996	  0.015878	  0.021656	  0.025378	  0.023846	  0.025237	    123.95 % .!!!.
1000 1024  SAWTOTH REVERSE_FR  	  0.001277	  0.008433	  0.008945	  0.004344	  0.007965	  0.013704	  0.016904	     14.28 % 
1000 1024  _RANDOM REVERSE_FR  	  0.027284	  0.026548	  0.026592	  0.021631	  0.040929	  0.040282	  0.060927	    102.60 % ..
1000 1024  PLATEAU REVERSE_FR  	  0.001266	  0.008345	  0.008860	  0.004497	  0.007940	  0.013681	  0.018610	     14.29 % 
1000 1024  SHUFFLE REVERSE_FR  	  0.001132	  0.008444	  0.008905	  0.004407	  0.008106	  0.013787	  0.018269	     12.72 % 
1000 1024  STAGGER REVERSE_BA  	  0.019766	  0.014390	  0.015329	  0.021279	  0.024367	  0.024117	  0.025182	    128.94 % .!!!.
1000 1024  SAWTOTH REVERSE_BA  	  0.005297	  0.009070	  0.009960	  0.004882	  0.008001	  0.013612	  0.017469	     53.18 % 
