
--- Bentley Basher ---

Start warm up ...
Warmup length: 501 reps: 20
lreps: 81 with reps: 1

Warmup length: 10001 reps: 20
lreps: 1 with reps: 10

  End warm up (53880 iterations per sort).

-----


Starting benchmarks ...
Timings are given in milli-seconds (rms = mean + 1 stddev)

Timings are estimated using auto-tune to satisfy the maximal uncertainty of 2 %.


Length Sub-size  Builder Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11P	RADIX	[DPQ_11 % DPQ_18_11_21]

lreps: 1 with reps: 5

50000 4096  _RANDOM REVERSE_BA	   0.022108	   6.484878	   6.925382	   6.833317	   1.423622	     93.64 % 
50000 4096  PLATEAU REVERSE_BA	   0.022171	   0.050699	   0.079848	!  0.027765	!  0.034005	     63.49 % 
50000 4096  SHUFFLE REVERSE_BA	   0.022177	   1.091568	   0.496300	   0.459285	!  1.843055	    219.94 % .!!!!!.
50000 4096  STAGGER SORT______	   0.010095	!  0.043371	!  0.064364	   0.014020	!  0.037586	     67.38 % 
50000 4096  SAWTOTH SORT______	   0.022138	   0.051007	   0.072784	!  0.027673	!  0.042139	     70.08 % 
50000 4096  _RANDOM SORT______	   0.010129	!  0.052826	!  0.072349	   0.013967	!  0.031616	     73.02 % 
50000 4096  PLATEAU SORT______	   0.021759	!  0.049980	   0.079847	!  0.025856	   0.043018	     62.60 % 
50000 4096  SHUFFLE SORT______	!  0.021664	!  0.050436	   0.080091	   0.030783	!  0.042511	     62.97 % 
50000 4096  STAGGER DITHER____	   0.022007	   6.396917	   6.385884	   6.338411	   1.878117	    100.17 % ..
50000 4096  SAWTOTH DITHER____	   0.021977	   3.603432	   4.875257	   4.971476	   1.310161	     73.91 % 
50000 4096  _RANDOM DITHER____	!  0.021549	   6.467836	   6.866567	   6.774006	   1.402369	     94.19 % 
50000 4096  PLATEAU DITHER____	   0.021977	   0.424421	   0.288202	   0.269897	   1.061053	    147.27 % .!!!.
50000 4096  SHUFFLE DITHER____	!  0.021616	   1.476438	   1.003598	   1.085438	   1.903965	    147.11 % .!!!.
50000 16384  STAGGER IDENT_____	   0.021894	   6.260555	   6.323042	   6.293630	   1.773379	     99.01 % 
